Rain Fall (mm),Fertilizer,Temperature,Nitrogen (N),Phosphorus (P),Potassium (K),Yeild (Q/acre),Crop Type,NPK_Total,Rain_Fertilizer,Temp_NPK,Rainfall_Category,Yield_Category,Crop_Type_Encoded
1.098130085934995,0.4378065897700446,-0.27369685124548837,0.6485899419877789,0.5175327682562947,0.7492517598190023,12.0,Corn,124,98400,3472,Very High,High,1
-1.3793585225768843,-0.9831446226415038,1.1098485220334138,-0.5271337960738994,-0.4306840781225016,0.26162797606709115,8.0,Sorghum,108,28800,3888,Low,Low,3
1.1641964488286451,0.08256878666715749,-0.10075367958562559,0.4134451943754432,0.04342434506689656,0.5054398679430467,11.0,Soybean,119,93750,3451,Very High,High,4
-1.4784580669173595,-0.6279068195386167,0.9369053503735509,-0.5271337960738994,-0.6677382897172006,0.26162797606709115,9.0,Sorghum,107,29250,3745,Low,Medium,3
0.9990305415945199,0.4378065897700446,-0.4466400229053511,0.5310175681816109,0.04342434506689656,0.5054398679430467,11.0,Wheat,120,96000,3240,High,High,5
-1.313292159683234,-0.2726690164357296,0.7639621787136882,-0.056844300849228147,0.04342434506689656,-0.22599580768481992,10.0,Barley,112,35000,3808,Low,Medium,0
1.2467794024457077,-0.2016214558151522,-0.27369685124548837,0.29587282056927533,-0.1936298665278025,0.7492517598190023,11.0,Corn,118,90525,3304,Very High,High,1
-1.561041020534422,-0.6279068195386167,1.2827916936932764,-0.879850917492403,-0.9047925013118997,-0.46980769956077545,7.0,Corn,100,27625,3700,Low,Low,1
0.9990305415945199,0.22466390790831234,-0.4466400229053511,0.4134451943754432,0.2804785566615956,0.7492517598190023,12.0,Sorghum,121,92400,3267,High,High,3
-1.6436239741514849,-1.6936202288472781,1.628678037013002,-1.7028575341355776,-0.9047925013118997,-0.46980769956077545,6.0,Barley,93,20000,3627,Low,Low,0
1.2632959931691203,0.4378065897700446,-0.6195831945652139,0.6485899419877789,0.5175327682562947,0.7492517598190023,12.0,Barley,124,102400,3224,Very High,High,0
-1.5940742019812473,-1.338382425744391,1.4557348653531392,-1.1149956651047386,-0.6677382897172006,0.017816084191135624,8.0,Wheat,101,22825,3838,Low,Low,5
1.0816134952115826,0.3667590291494672,-0.10075367958562559,0.5310175681816109,0.2804785566615956,0.7492517598190023,11.0,Sorghum,122,96775,3538,Very High,High,3
-1.561041020534422,-1.6936202288472781,1.2827916936932764,-1.1149956651047386,-0.9047925013118997,0.5054398679430467,9.0,Sorghum,102,21250,3774,Low,Medium,3
1.1641964488286451,-0.2726690164357296,-0.9654695378849394,-0.5271337960738994,0.04342434506689656,0.26162797606709115,11.0,Rice,110,87500,2640,Very High,High,2
-1.6436239741514849,-0.9831446226415038,1.628678037013002,-1.7028575341355776,-0.9047925013118997,-0.46980769956077545,5.5,Sorghum,93,24000,3627,Low,Low,3
1.3293623560627705,0.4378065897700446,-0.27369685124548837,0.6485899419877789,0.5175327682562947,0.7492517598190023,12.0,Corn,124,104000,3472,Very High,High,1
-1.6105907927046597,-1.338382425744391,1.1098485220334138,-1.1149956651047386,-0.1936298665278025,-0.22599580768481992,7.0,Wheat,102,22550,3672,Low,Low,5
0.8338646343603946,0.22466390790831234,-0.27369685124548837,0.17830044676310752,0.2804785566615956,0.7492517598190023,11.0,Barley,119,88550,3332,High,High,0
0.9990305415945199,0.29571146852888974,-0.4466400229053511,0.4134451943754432,0.2804785566615956,0.5054398679430467,12.0,Sorghum,120,93600,3240,High,High,3
-1.6105907927046597,-1.6936202288472781,1.2827916936932764,-1.8204299079417456,-0.6677382897172006,-0.46980769956077545,6.0,Wheat,93,20500,3441,Low,Low,5
1.2632959931691203,0.1536163472877349,-0.6195831945652139,0.06072807295693968,0.5175327682562947,0.5054398679430467,11.0,Sorghum,118,97280,3068,Very High,High,3
-1.561041020534422,-1.338382425744391,1.4557348653531392,-1.1149956651047386,-0.6677382897172006,0.017816084191135624,7.0,Barley,101,23375,3838,Low,Low,0
